file_name,region_count,region_id,x,y,width,height,labels,file_path
page_1_image_4.jpg,1,0,135,30,264,247,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_4.jpg
page_1_image_5.jpg,1,0,158,85,133,257,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_5.jpg
page_1_image_7.jpg,1,0,74,138,288,244,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_7.jpg
page_1_image_8.jpg,1,0,194,1,346,380,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_8.jpg
page_1_image_9.jpg,1,0,281,111,247,270,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_9.jpg
page_1_image_12.jpg,1,0,11,3,421,300,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_12.jpg
page_1_image_15.jpg,1,0,128,128,96,99,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_15.jpg
page_1_image_16.jpg,1,0,119,220,456,484,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_16.jpg
page_1_image_17.jpg,1,0,19,96,548,238,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_17.jpg
page_1_image_18.jpg,1,0,131,41,111,214,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_18.jpg
page_1_image_19.jpg,1,0,164,284,276,223,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_19.jpg
page_1_image_23.jpg,1,0,133,0,318,363,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_23.jpg
page_1_image_24.jpg,1,0,88,106,426,419,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_1_image_24.jpg
page_2_image_7.jpg,1,0,131,419,180,127,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_2_image_7.jpg
page_3_image_25.jpg,1,0,190,71,178,206,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_3_image_25.jpg
page_4_image_1.jpg,1,0,145,75,169,115,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_1.jpg
page_4_image_2.jpg,1,0,113,54,214,219,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_2.jpg
page_4_image_3.jpg,1,0,185,56,147,138,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_3.jpg
page_4_image_4.jpg,1,0,291,54,154,186,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_4.jpg
page_4_image_5.jpg,1,0,147,96,217,171,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_5.jpg
page_4_image_6.jpg,1,0,187,133,165,127,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_6.jpg
page_4_image_23.jpg,1,0,166,28,195,289,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_23.jpg
page_4_image_24.jpg,2,0,410,38,125,158,dog1,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_24.jpg
page_4_image_24.jpg,2,1,362,202,183,130,dog2,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_4_image_24.jpg
page_5_image_25.jpg,1,0,230,112,221,194,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_5_image_25.jpg
page_6_image_2.jpg,1,0,43,10,274,305,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_6_image_2.jpg
page_6_image_8.jpg,1,0,123,73,380,260,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_6_image_8.jpg
page_6_image_9.jpg,1,0,111,358,268,150,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_6_image_9.jpg
page_6_image_10.jpg,1,0,160,31,267,318,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_6_image_10.jpg
page_7_image_6.jpg,1,0,158,99,310,151,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_7_image_6.jpg
page_7_image_25.jpg,1,0,24,88,451,325,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_7_image_25.jpg
page_10_image_4.jpg,1,0,122,131,246,101,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_10_image_4.jpg
page_10_image_8.jpg,1,0,165,173,264,147,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_10_image_8.jpg
page_10_image_13.jpg,1,0,2,102,419,208,dog,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_10_image_13.jpg
page_16_image_26.jpg,1,0,223,49,239,307,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_16_image_26.jpg
page_18_image_12.jpg,1,0,147,21,314,360,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_18_image_12.jpg
page_18_image_23.jpg,1,0,93,63,287,315,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_18_image_23.jpg
page_18_image_31.jpg,1,0,39,36,402,274,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_18_image_31.jpg
page_18_image_34.jpg,1,0,3,19,263,290,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_18_image_34.jpg
page_19_image_6.jpg,1,0,93,7,320,341,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_6.jpg
page_19_image_7.jpg,1,0,109,46,407,329,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_7.jpg
page_19_image_8.jpg,1,0,77,23,345,357,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_8.jpg
page_19_image_9.jpg,1,0,110,43,290,254,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_9.jpg
page_19_image_10.jpg,1,0,2,2,249,369,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_10.jpg
page_19_image_11.jpg,1,0,127,86,321,263,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_11.jpg
page_19_image_12.jpg,1,0,243,57,193,293,cat,C:\Users\gdnjr5233_YOLO\Desktop\cats-dogs\🐱🐶_labeled_2\page_19_image_12.jpg
