filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
page_1_image_4.jpg,108133,"{}",1,0,"{""name"":""rect"",""x"":135,""y"":30,""width"":264,""height"":247}","{""labels"":""dog""}"
page_1_image_5.jpg,80974,"{}",1,0,"{""name"":""rect"",""x"":158,""y"":85,""width"":133,""height"":257}","{""labels"":""dog""}"
page_1_image_7.jpg,23132,"{}",1,0,"{""name"":""rect"",""x"":74,""y"":138,""width"":288,""height"":244}","{""labels"":""dog""}"
page_1_image_8.jpg,70456,"{}",1,0,"{""name"":""rect"",""x"":194,""y"":1,""width"":346,""height"":380}","{""labels"":""dog""}"
page_1_image_9.jpg,53020,"{}",1,0,"{""name"":""rect"",""x"":281,""y"":111,""width"":247,""height"":270}","{""labels"":""dog""}"
page_1_image_12.jpg,67697,"{}",1,0,"{""name"":""rect"",""x"":11,""y"":3,""width"":421,""height"":300}","{""labels"":""dog""}"
page_1_image_15.jpg,79318,"{}",1,0,"{""name"":""rect"",""x"":128,""y"":128,""width"":96,""height"":99}","{""labels"":""dog""}"
page_1_image_16.jpg,134169,"{}",1,0,"{""name"":""rect"",""x"":119,""y"":220,""width"":456,""height"":484}","{""labels"":""dog""}"
page_1_image_17.jpg,67135,"{}",1,0,"{""name"":""rect"",""x"":19,""y"":96,""width"":548,""height"":238}","{""labels"":""dog""}"
page_1_image_18.jpg,129453,"{}",1,0,"{""name"":""rect"",""x"":131,""y"":41,""width"":111,""height"":214}","{""labels"":""dog""}"
page_1_image_19.jpg,85352,"{}",1,0,"{""name"":""rect"",""x"":164,""y"":284,""width"":276,""height"":223}","{""labels"":""dog""}"
page_1_image_23.jpg,71205,"{}",1,0,"{""name"":""rect"",""x"":133,""y"":0,""width"":318,""height"":363}","{""labels"":""dog""}"
page_1_image_24.jpg,99964,"{}",1,0,"{""name"":""rect"",""x"":88,""y"":106,""width"":426,""height"":419}","{""labels"":""dog""}"
page_2_image_7.jpg,133640,"{}",1,0,"{""name"":""rect"",""x"":131,""y"":419,""width"":180,""height"":127}","{""labels"":""dog""}"
page_3_image_25.jpg,48660,"{}",1,0,"{""name"":""rect"",""x"":190,""y"":71,""width"":178,""height"":206}","{""labels"":""dog""}"
page_4_image_1.jpg,86036,"{}",1,0,"{""name"":""rect"",""x"":145,""y"":75,""width"":169,""height"":115}","{""labels"":""dog""}"
page_4_image_2.jpg,60379,"{}",1,0,"{""name"":""rect"",""x"":113,""y"":54,""width"":214,""height"":219}","{""labels"":""dog""}"
page_4_image_3.jpg,83239,"{}",1,0,"{""name"":""rect"",""x"":185,""y"":56,""width"":147,""height"":138}","{""labels"":""dog""}"
page_4_image_4.jpg,117384,"{}",1,0,"{""name"":""rect"",""x"":291,""y"":54,""width"":154,""height"":186}","{""labels"":""dog""}"
page_4_image_5.jpg,76508,"{}",1,0,"{""name"":""rect"",""x"":147,""y"":96,""width"":217,""height"":171}","{""labels"":""dog""}"
page_4_image_6.jpg,156118,"{}",1,0,"{""name"":""rect"",""x"":187,""y"":133,""width"":165,""height"":127}","{""labels"":""dog""}"
page_4_image_23.jpg,41683,"{}",1,0,"{""name"":""rect"",""x"":166,""y"":28,""width"":195,""height"":289}","{""labels"":""dog""}"
page_4_image_24.jpg,62578,"{}",2,0,"{""name"":""rect"",""x"":410,""y"":38,""width"":125,""height"":158}","{""labels"":""dog1""}"
page_4_image_24.jpg,62578,"{}",2,1,"{""name"":""rect"",""x"":362,""y"":202,""width"":183,""height"":130}","{""labels"":""dog2""}"
page_5_image_25.jpg,86439,"{}",1,0,"{""name"":""rect"",""x"":230,""y"":112,""width"":221,""height"":194}","{""labels"":""dog""}"
page_6_image_2.jpg,79499,"{}",1,0,"{""name"":""rect"",""x"":43,""y"":10,""width"":274,""height"":305}","{""labels"":""dog""}"
page_6_image_8.jpg,53643,"{}",1,0,"{""name"":""rect"",""x"":123,""y"":73,""width"":380,""height"":260}","{""labels"":""dog""}"
page_6_image_9.jpg,55739,"{}",1,0,"{""name"":""rect"",""x"":111,""y"":358,""width"":268,""height"":150}","{""labels"":""dog""}"
page_6_image_10.jpg,43231,"{}",1,0,"{""name"":""rect"",""x"":160,""y"":31,""width"":267,""height"":318}","{""labels"":""dog""}"
page_7_image_6.jpg,66890,"{}",1,0,"{""name"":""rect"",""x"":158,""y"":99,""width"":310,""height"":151}","{""labels"":""dog""}"
page_7_image_25.jpg,60363,"{}",1,0,"{""name"":""rect"",""x"":24,""y"":88,""width"":451,""height"":325}","{""labels"":""dog""}"
page_10_image_4.jpg,57795,"{}",1,0,"{""name"":""rect"",""x"":122,""y"":131,""width"":246,""height"":101}","{""labels"":""dog""}"
page_10_image_8.jpg,70976,"{}",1,0,"{""name"":""rect"",""x"":165,""y"":173,""width"":264,""height"":147}","{""labels"":""dog""}"
page_10_image_13.jpg,67883,"{}",1,0,"{""name"":""rect"",""x"":2,""y"":102,""width"":419,""height"":208}","{""labels"":""dog""}"
page_16_image_26.jpg,52880,"{}",1,0,"{""name"":""rect"",""x"":223,""y"":49,""width"":239,""height"":307}","{""labels"":""cat""}"
